Ticker,Expected Return,Expected Risk (Var),Cost (Latest Price),Market Cap
BTMD,-0.003373,0.000880,2.120000,85653832.334618
BTOC,-0.020509,0.003406,0.325000,13001265.194501
BTOG,-0.004460,0.001586,2.530000,4439136.168413
BTQ,0.008756,0.015212,3.330000,438281176.924696
BTSG,0.001749,0.001004,41.430000,8173061086.905861
BTTC,-0.011797,0.001411,1.460000,15091116.574689
BULL,-0.007326,0.002907,5.810000,2754974292.823242
BUSE,-0.000043,0.000279,25.360000,2159135426.943588
BUUU,0.030754,0.005232,14.830000,221110503.816605
BVC,-0.012872,0.001084,7.030000,1322143238.067627
BVFL,-0.002897,0.000228,18.680000,167393839.606842
BVS,0.003895,0.000332,8.780000,576667443.975451
BWAY,0.000513,0.001641,11.570000,496562806.875050
BWB,-0.003826,0.000262,18.280000,484411497.679176
BWEN,-0.005909,0.007969,2.480000,54058300.269905
