Ticker,Expected Return,Expected Risk (Var),Cost (Latest Price),Market Cap,Grade
BBSI,-0.273227,0.002002,27.77,742345310.714968,C
BCAB,0.427746,0.010357,0.247,12476308.487794,D
BCAL,-0.000546,0.000173,18.31,582230519.040268,C
BCAR,-0.009332,1e-06,10.085,415708006.286621,C
BCAX,0.001193,0.001631,16.78,1196813991.666931,B
BCBP,-0.020976,0.000382,8.0,142165012.09259,D
BCDA,0.066116,0.00211,1.29,12523025.56334,D
BCG,-0.122449,0.003541,2.15,35529268.281667,D
BCIC,-0.075596,0.00024,11.25,130863936.686464,D
BCML,0.00034,0.000193,29.4,316362067.3729,C
BCPC,0.058827,0.000186,181.43,5676663788.54599,B
BCRX,0.319759,0.001181,8.75,2126789142.792587,B
BCTX,-0.145414,0.000883,3.82,27986879.059394,D
BCYC,-0.117103,0.001435,5.73,360713045.969124,C
BDCI,-0.007913,2e-06,10.03,347119195.377119,C
BDMD,1.893204,0.033165,2.98,113850286.497545,D
BDRX,-0.364706,0.005145,1.08,759941.037199,D
BDSX,0.489796,0.002624,15.33,150240005.493164,D
BDTX,-0.027559,0.001304,2.47,122496068.383551,D
BEAG,-0.012207,4e-06,10.52,330091718.805313,C
BEAM,0.019341,0.002729,28.46,2703264835.552177,B
BEAT,0.041379,0.002916,1.51,56164364.643527,D
BEEM,0.038217,0.001988,1.63,27402259.328868,D
BEEP,-0.034921,0.001424,3.04,115056001.210213,D
BELFA,0.06986,0.000925,211.95,2188782801.119202,B
BELFB,0.065495,0.000848,229.71,2428366713.511597,B
BENF,0.076212,0.005854,4.66,54012173.322237,D
BETR,0.224414,0.002671,32.9,499310046.397091,C
BFC,-0.070985,0.000251,134.67,1529236615.28302,B
BFRG,-0.008547,0.008682,0.58,6771840.363427,D
BFRI,0.017857,0.002448,0.912,10005909.773598,D
BFST,-0.048147,0.000284,27.3,874782711.293201,C
BGC,0.030301,0.001081,9.5002,4414346003.077316,B
BGIN,-0.093645,0.00107,2.71,308861123.817897,C
BGL,-0.298182,0.008573,1.93,60102588.860779,D
BGLC,-0.035752,0.004021,2.724,5909590.0,D
BGM,-0.622449,0.015618,1.11,208648284.666826,C
BGMS,-0.132743,0.009557,0.98,2791235.814975,D
BHAT,-0.934105,0.039665,2.475,78656.700431,D
BHF,-0.064858,5.3e-05,59.98,3384726741.279591,B
BHRB,-0.028829,0.000298,64.44,954065067.427273,C
BHST,-0.02079,0.000742,4.71,95654068.484307,D
BIAF,-0.165354,0.012016,1.06,4678658.228388,D
BIDU,-0.162415,0.000593,124.44,41501497386.709854,A
BIIB,0.071082,0.000826,191.82,27131248354.765625,A
BILI,-0.16065,0.000766,27.9,10054431640.484133,A
BIOA,0.10796,0.00033,22.27,847157695.10553,C
BIOX,-0.351852,0.008265,0.56,34024644.615534,D
BIRD,-0.262338,0.001533,2.84,20368468.316652,D
BITF,-0.026549,0.007371,2.2,1229564227.967768,B
BIVI,0.112903,0.002814,1.38,10255398.347871,D
BIXI,-0.001008,0.0,9.91,301627375.235733,C
BIYA,-0.614428,0.007296,1.55,2114190.897489,D
BJDX,-0.393491,0.00564,2.05,1807920.013905,D
BJRI,-0.115895,0.000563,37.99,745717045.128868,C
BKHA,0.015058,3.2e-05,11.46,47599992.578446,D
BKNG,-0.172366,0.001377,4229.7012,146677724456.5503,A
BKR,0.160427,0.00031,65.26,59106427020.23632,A
BKYI,-0.029851,0.00382,0.65,6570593.301092,D
BL,-0.250319,0.001983,35.25,2225096995.351925,B
BLBD,0.141206,0.001764,58.27,1730714797.28809,B
BLBX,0.625,0.015571,18.46,75339845.0,D
BLDP,-0.073593,0.001052,2.14,604484695.691933,C
BLFS,0.083744,0.000616,24.2,956220222.947235,C
BLFY,-0.017151,0.000493,13.18,270103555.011868,C
BLIN,0.098765,0.002646,0.89,11717887.560121,D
BLIV,-0.033333,0.001017,3.19,31181980.496622,D
BLKB,-0.072956,0.001296,48.54,2303694101.501083,B
BLLN,-0.086525,0.002878,76.33,3364461645.37262,B
BLMN,0.025126,0.001995,6.12,512218033.737055,C
BLNE,-0.138462,0.004297,2.8,77136257.008922,D
BLNK,-0.072931,0.001251,0.661,93791813.134209,D
