file_name,method,N,seed,total_points,left_points,right_points,max_gap,median_gap,gap_ratio,did_split
all_2obj_NSGA2_N2653_seed17,NSGA2,2653,17,60000,60000,0,2.0324210000000003,0.0,0.0,False
all_2obj_RANDOM_N2653_seed17,RANDOM,2653,17,60000,59335,665,4.483194,2.000000000002e-06,2241596.9999977583,True
all_2obj_NSGA2_N2653_seed18,NSGA2,2653,18,60000,60000,0,1.2925969999999989,0.0,0.0,False
all_2obj_RANDOM_N2653_seed18,RANDOM,2653,18,60000,59305,695,4.526527,2.000000000002e-06,2263263.4999977364,True
all_2obj_NSGA2_N2653_seed19,NSGA2,2653,19,60000,60000,0,2.2694819999999996,0.0,0.0,False
all_2obj_RANDOM_N2653_seed19,RANDOM,2653,19,60000,59296,704,4.49485,2.000000000002e-06,2247424.9999977523,True
all_2obj_NSGA2_N2653_seed20,NSGA2,2653,20,60000,60000,0,1.8956870000000006,0.0,0.0,False
all_2obj_RANDOM_N2653_seed20,RANDOM,2653,20,60000,59304,696,4.4395869999999995,2.000000000002e-06,2219793.4999977797,True
all_2obj_NSGA2_N2653_seed21,NSGA2,2653,21,60000,60000,0,1.8281650000000003,0.0,0.0,False
all_2obj_RANDOM_N2653_seed21,RANDOM,2653,21,60000,59291,709,4.258059,2.000000000002e-06,2129029.499997871,True
all_2obj_NSGA2_N2653_seed22,NSGA2,2653,22,60000,60000,0,1.403108999999998,0.0,0.0,False
all_2obj_RANDOM_N2653_seed22,RANDOM,2653,22,60000,59351,649,4.276772,2.000000000002e-06,2138385.9999978617,True
all_2obj_NSGA2_N2653_seed23,NSGA2,2653,23,60000,60000,0,1.956903,0.0,0.0,False
all_2obj_RANDOM_N2653_seed23,RANDOM,2653,23,60000,59310,690,4.226676,2.000000000002e-06,2113337.999997887,True
all_2obj_NSGA2_N2653_seed24,NSGA2,2653,24,60000,60000,0,2.065162,0.0,0.0,False
all_2obj_RANDOM_N2653_seed24,RANDOM,2653,24,60000,59365,635,4.374727,2.000000000002e-06,2187363.4999978123,True
all_2obj_NSGA2_N2653_seed25,NSGA2,2653,25,60000,60000,0,1.8940600000000005,0.0,0.0,False
all_2obj_RANDOM_N2653_seed25,RANDOM,2653,25,60000,59357,643,4.2516370000000006,2.000000000002e-06,2125818.4999978743,True
all_2obj_NSGA2_N2653_seed26,NSGA2,2653,26,60000,60000,0,1.755967,0.0,0.0,False
all_2obj_RANDOM_N2653_seed26,RANDOM,2653,26,60000,59344,656,4.22556,2.000000000002e-06,2112779.999997887,True
all_2obj_NSGA2_N2653_seed27,NSGA2,2653,27,60000,60000,0,2.0421739999999997,0.0,0.0,False
all_2obj_RANDOM_N2653_seed27,RANDOM,2653,27,60000,59305,695,4.2653859999999995,2.000000000002e-06,2132692.999997867,True
all_2obj_NSGA2_N2653_seed28,NSGA2,2653,28,60000,60000,0,1.8650729999999998,0.0,0.0,False
all_2obj_RANDOM_N2653_seed28,RANDOM,2653,28,60000,59352,648,4.425234,2.000000000002e-06,2212616.999997787,True
all_2obj_NSGA2_N2653_seed29,NSGA2,2653,29,60000,60000,0,1.900599000000001,0.0,0.0,False
all_2obj_RANDOM_N2653_seed29,RANDOM,2653,29,60000,59295,705,4.450817000000001,2.000000000002e-06,2225408.4999977746,True
